recv_time_ms,node,topic,latency_ms
1764453232266,lt-31,sensors/test/environment,41
1764453232267,lt-40,sensors/test/environment,41
1764453232268,lt-14,sensors/test/environment,41
1764453232269,lt-5,sensors/test/environment,42
1764453232272,lt-23,sensors/test/environment,42
1764453232272,lt-49,sensors/test/environment,42
1764453232274,lt-32,sensors/test/environment,41
1764453232281,lt-41,sensors/test/environment,42
1764453232281,lt-6,sensors/test/environment,43
1764453232281,lt-15,sensors/test/environment,42
1764453232283,lt-24,sensors/test/environment,41
1764453232284,lt-33,sensors/test/environment,41
1764453232290,lt-7,sensors/test/environment,43
1764453232293,lt-25,sensors/test/environment,42
1764453232293,lt-16,sensors/test/environment,43
1764453232293,lt-42,sensors/test/environment,43
1764453232296,lt-34,sensors/test/environment,42
1764453232299,lt-8,sensors/test/environment,42
1764453232300,lt-43,sensors/test/environment,43
1764453232300,lt-17,sensors/test/environment,40
1764453232303,lt-26,sensors/test/environment,42
1764453232304,lt-35,sensors/test/environment,41
1764453232309,lt-9,sensors/test/environment,42
1764453232312,lt-44,sensors/test/environment,43
1764453232313,lt-0,sensors/test/environment,44
1764453232313,lt-18,sensors/test/environment,42
1764453232314,lt-27,sensors/test/environment,43
1764453232320,lt-1,sensors/test/environment,43
1764453232321,lt-10,sensors/test/environment,44
1764453232324,lt-36,sensors/test/environment,47
1764453232324,lt-19,sensors/test/environment,45
1764453232326,lt-45,sensors/test/environment,46
1764453232326,lt-28,sensors/test/environment,43
1764453232327,lt-37,sensors/test/environment,43
1764453232333,lt-11,sensors/test/environment,46
1764453232334,lt-2,sensors/test/environment,46
1764453232335,lt-20,sensors/test/environment,42
1764453232335,lt-46,sensors/test/environment,43
1764453232337,lt-29,sensors/test/environment,43
1764453232337,lt-38,sensors/test/environment,42
1764453232338,lt-3,sensors/test/environment,42
1764453232342,lt-12,sensors/test/environment,43
1764453232342,lt-21,sensors/test/environment,43
1764453232344,lt-47,sensors/test/environment,44
1764453232344,lt-30,sensors/test/environment,42
1764453232347,lt-39,sensors/test/environment,42
1764453232351,lt-13,sensors/test/environment,43
1764453232351,lt-4,sensors/test/environment,43
1764453232354,lt-48,sensors/test/environment,43
1764453232354,lt-22,sensors/test/environment,42
1764453232359,lt-40,sensors/test/environment,42
1764453232360,lt-31,sensors/test/environment,42
1764453232360,lt-14,sensors/test/environment,41
1764453232361,lt-5,sensors/test/environment,41
1764453232363,lt-23,sensors/test/environment,42
1764453232363,lt-49,sensors/test/environment,41
1764453232366,lt-32,sensors/test/environment,41
1764453232371,lt-6,sensors/test/environment,40
1764453232371,lt-15,sensors/test/environment,41
1764453232372,lt-41,sensors/test/environment,41
1764453232374,lt-24,sensors/test/environment,40
1764453232376,lt-33,sensors/test/environment,41
1764453232381,lt-7,sensors/test/environment,41
1764453232383,lt-16,sensors/test/environment,40
1764453232384,lt-42,sensors/test/environment,41
1764453232384,lt-25,sensors/test/environment,41
1764453232389,lt-34,sensors/test/environment,42
1764453232391,lt-8,sensors/test/environment,41
1764453232391,lt-17,sensors/test/environment,40
1764453232392,lt-43,sensors/test/environment,42
1764453232393,lt-26,sensors/test/environment,40
1764453232395,lt-35,sensors/test/environment,41
1764453232400,lt-9,sensors/test/environment,41
1764453232404,lt-27,sensors/test/environment,42
1764453232404,lt-18,sensors/test/environment,42
1764453232405,lt-0,sensors/test/environment,42
1764453232405,lt-44,sensors/test/environment,42
1764453232410,lt-36,sensors/test/environment,41
1764453232411,lt-10,sensors/test/environment,42
1764453232411,lt-1,sensors/test/environment,41
1764453232412,lt-19,sensors/test/environment,41
1764453232414,lt-45,sensors/test/environment,40
1764453232415,lt-28,sensors/test/environment,41
1764453232417,lt-37,sensors/test/environment,41
1764453232422,lt-11,sensors/test/environment,40
1764453232423,lt-2,sensors/test/environment,41
1764453232424,lt-46,sensors/test/environment,41
1764453232424,lt-20,sensors/test/environment,41
1764453232426,lt-29,sensors/test/environment,41
1764453232428,lt-38,sensors/test/environment,41
1764453232429,lt-3,sensors/test/environment,42
1764453232433,lt-12,sensors/test/environment,41
1764453232435,lt-21,sensors/test/environment,41
1764453232435,lt-47,sensors/test/environment,41
1764453232436,lt-30,sensors/test/environment,41
1764453232438,lt-39,sensors/test/environment,41
1764453232442,lt-4,sensors/test/environment,41
1764453232443,lt-13,sensors/test/environment,42
1764453232444,lt-22,sensors/test/environment,41
1764453232444,lt-48,sensors/test/environment,40
1764453232450,lt-40,sensors/test/environment,41
1764453232450,lt-31,sensors/test/environment,41
1764453232451,lt-14,sensors/test/environment,41
1764453232452,lt-5,sensors/test/environment,41
1764453232454,lt-49,sensors/test/environment,41
1764453232454,lt-23,sensors/test/environment,41
1764453232457,lt-32,sensors/test/environment,41
1764453232462,lt-15,sensors/test/environment,41
1764453232462,lt-6,sensors/test/environment,41
1764453232464,lt-41,sensors/test/environment,42
1764453232465,lt-24,sensors/test/environment,41
1764453232467,lt-33,sensors/test/environment,41
1764453232472,lt-7,sensors/test/environment,41
1764453232474,lt-16,sensors/test/environment,41
1764453232475,lt-42,sensors/test/environment,41
1764453232475,lt-25,sensors/test/environment,41
1764453232479,lt-34,sensors/test/environment,41
1764453232482,lt-43,sensors/test/environment,41
1764453232482,lt-17,sensors/test/environment,41
1764453232483,lt-8,sensors/test/environment,41
1764453232484,lt-26,sensors/test/environment,41
1764453232486,lt-35,sensors/test/environment,41
1764453232491,lt-9,sensors/test/environment,41
1764453232494,lt-27,sensors/test/environment,41
1764453232495,lt-18,sensors/test/environment,41
1764453232495,lt-44,sensors/test/environment,40
1764453232495,lt-0,sensors/test/environment,40
1764453232501,lt-10,sensors/test/environment,41
1764453232501,lt-36,sensors/test/environment,41
1764453232502,lt-1,sensors/test/environment,41
1764453232503,lt-19,sensors/test/environment,41
1764453232505,lt-45,sensors/test/environment,41
1764453232506,lt-28,sensors/test/environment,41
1764453232508,lt-37,sensors/test/environment,41
1764453232513,lt-11,sensors/test/environment,41
1764453232514,lt-2,sensors/test/environment,41
1764453232515,lt-46,sensors/test/environment,41
1764453232515,lt-20,sensors/test/environment,41
1764453232517,lt-29,sensors/test/environment,41
1764453232519,lt-3,sensors/test/environment,41
1764453232520,lt-38,sensors/test/environment,42
1764453232524,lt-12,sensors/test/environment,41
1764453232526,lt-47,sensors/test/environment,41
1764453232526,lt-21,sensors/test/environment,41
1764453232527,lt-30,sensors/test/environment,41
1764453232529,lt-39,sensors/test/environment,41
1764453232533,lt-13,sensors/test/environment,41
1764453232534,lt-4,sensors/test/environment,42
1764453232535,lt-48,sensors/test/environment,41
1764453232535,lt-22,sensors/test/environment,41
1764453232541,lt-31,sensors/test/environment,40
1764453232541,lt-40,sensors/test/environment,41
1764453232542,lt-14,sensors/test/environment,41
1764453232543,lt-5,sensors/test/environment,41
1764453232545,lt-23,sensors/test/environment,41
1764453232546,lt-49,sensors/test/environment,42
1764453232548,lt-32,sensors/test/environment,41
1764453232553,lt-6,sensors/test/environment,41
1764453232554,lt-15,sensors/test/environment,42
1764453232555,lt-41,sensors/test/environment,41
1764453232556,lt-24,sensors/test/environment,41
1764453232558,lt-33,sensors/test/environment,41
1764453232563,lt-7,sensors/test/environment,41
1764453232566,lt-16,sensors/test/environment,42
1764453232566,lt-25,sensors/test/environment,41
1764453232566,lt-42,sensors/test/environment,41
1764453232570,lt-34,sensors/test/environment,41
1764453232573,lt-17,sensors/test/environment,41
1764453232573,lt-43,sensors/test/environment,41
1764453232574,lt-8,sensors/test/environment,41
1764453232575,lt-26,sensors/test/environment,41
1764453232577,lt-35,sensors/test/environment,41
1764453232582,lt-9,sensors/test/environment,41
1764453232585,lt-27,sensors/test/environment,41
1764453232585,lt-18,sensors/test/environment,41
1764453232586,lt-0,sensors/test/environment,41
1764453232587,lt-44,sensors/test/environment,41
1764453232592,lt-36,sensors/test/environment,41
1764453232593,lt-10,sensors/test/environment,42
1764453232594,lt-1,sensors/test/environment,42
1764453232594,lt-19,sensors/test/environment,41
1764453232597,lt-45,sensors/test/environment,42
1764453232597,lt-28,sensors/test/environment,41
